epoch,loss,f1,precision,recall,seconds,hyper_parameters
4,-1.0,0.6600128783000644,0.4973313925278991,0.9808612440191388,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,639.9419920220971,0.7833433147678791,0.7900621944892601,0.7843511450381679,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,320.5858864523471,0.7891496375288195,0.7955801544899791,0.7900763358778626,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,135.99122704472393,0.8390946672394082,0.8401304876477598,0.8392175572519084,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,60.917137048207216,0.8005006368104379,0.8046507344606039,0.8010496183206107,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,34.72668791306205,0.8377856687624258,0.8378094881117577,0.8377862595419847,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
4,-3.0,0.7530498072647686,0.7531109516299297,0.7533357374684457,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.12'}"
-1,-1.0,0.3002107853149174,0.5154730045918517,0.2523854961832061,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.17'}"
0,616.0981062501669,0.7784603370140598,0.7887711186481775,0.7800572519083969,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.17'}"
1,281.2933418005705,0.8048159755307646,0.8084444573354538,0.8053435114503816,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.17'}"
2,114.73883471172304,0.8463642540711965,0.8465086224471758,0.8463740458015268,103,"{'batch_size': '10', 'lr': '1.1e-05', 'eps': '5e-07', 'dropout': '0.17'}"
